observation_key,approval_request_key,request_order,source_execution_plan_key,gap_key,program_key,program_name,program_type,plan_lane,route_role,fetch_url,fetch_status,http_status,final_url,fetch_domain,final_domain,same_domain_final_url,content_type,elapsed_ms,content_length,content_sha256,visible_text_length,visible_text_sha256,title_current_signal,heading_current_signal,heading_signal_count,current_term_count,resident_term_count,fellow_term_count,person_anchor_count,roster_anchor_count,candidate_route_signal,recommended_next_packet,web_fetch_approved_by_gbrain,raw_dump_publication_allowed,accepted_person_rows,person_ingestion_allowed,parser_acceptance_allowed,denominator_closure_allowed,school_verification_allowed,url_rewrite_allowed,identity_collapse_allowed,mutation_policy,evidence_json,generated_at
vanderbilt_slice_2_live_route_observation_b45188a44b9fdac1e5c3,vanderbilt_slice_2_live_fetch_approval_request_8b8e3efede5968e3378c,1,vanderbilt_slice_2_execution_plan_d5ddade90a3f11101b95,school_gap_resolution_b78b691c12dd8f4a7e53,vanderbilt_program_residency-plastic-surgery-integrated-https-www-vumc-org-plas_79cf74826980,Plastic Surgery-Integrated,residency,related_scope_exclusion_then_target_program_source_discovery,candidate_context,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,fetched,200,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,www.vumc.org,www.vumc.org,true,text/html; charset=UTF-8,204,113762,6deb5c28794bede50a98914260e9dfa8f5e19aef4fa82a1509de0d08bc3818d8,6174,d5f7d26fc453fe3cd943461a1fe80eb94c4c8b3fbbb2977f7b70da9f47959aba,true,true,2,21,11,13,53,6,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,true,false,0,false,false,false,false,false,false,"Approved non-mutating Vanderbilt slice-2 live route-observation ledger. It fetches only bounded public official denominator and candidate-context route metadata from the nine approved request rows, records final URLs, hashes, booleans, and coarse signal counts, and stores no raw HTML, raw text, raw headings, raw anchor samples, raw candidate names, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, or identity collapse.","{""fetch_error"":"""",""gbrain_approval_line"":""APPROVE vanderbilt_slice_2_live_fetch_approval_request_packet_approved REQUEST_ROWS 9 SOURCE_PLAN_ROWS 9 SOURCE_ROWSET_SHA256 c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b ROWSET_SHA256 98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""route_role"":""candidate_context"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_approval_request_status"":""pending_exact_gbrain_approval"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b""}",2026-06-09T10:49:52.565411+00:00
vanderbilt_slice_2_live_route_observation_4271fc44a10b04891ac0,vanderbilt_slice_2_live_fetch_approval_request_8b8e3efede5968e3378c,1,vanderbilt_slice_2_execution_plan_d5ddade90a3f11101b95,school_gap_resolution_b78b691c12dd8f4a7e53,vanderbilt_program_residency-plastic-surgery-integrated-https-www-vumc-org-plas_79cf74826980,Plastic Surgery-Integrated,residency,related_scope_exclusion_then_target_program_source_discovery,denominator,https://www.vumc.org/plasticsurgdept/integrated-residency-program,fetched,200,https://www.vumc.org/plasticsurgdept/integrated-residency-program,www.vumc.org,www.vumc.org,true,text/html; charset=UTF-8,177,72665,45597860c94639f832acc92503da75e5a9406e050391062cfb62a99765458fdd,7104,fb594a3bb58858007090f24f0009ae08aa5665a6c06f8a7463af3d6c70d12dad,false,false,0,22,21,12,17,5,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,true,false,0,false,false,false,false,false,false,"Approved non-mutating Vanderbilt slice-2 live route-observation ledger. It fetches only bounded public official denominator and candidate-context route metadata from the nine approved request rows, records final URLs, hashes, booleans, and coarse signal counts, and stores no raw HTML, raw text, raw headings, raw anchor samples, raw candidate names, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, or identity collapse.","{""fetch_error"":"""",""gbrain_approval_line"":""APPROVE vanderbilt_slice_2_live_fetch_approval_request_packet_approved REQUEST_ROWS 9 SOURCE_PLAN_ROWS 9 SOURCE_ROWSET_SHA256 c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b ROWSET_SHA256 98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""route_role"":""denominator"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_approval_request_status"":""pending_exact_gbrain_approval"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b""}",2026-06-09T10:49:52.565411+00:00
vanderbilt_slice_2_live_route_observation_24ab6cb1c134f6d8c5c9,vanderbilt_slice_2_live_fetch_approval_request_c0885b36bf826a256a2a,2,vanderbilt_slice_2_execution_plan_d05e77b3a654e0f1fc2f,school_gap_resolution_8b38cca477ffd3c78fb5,vanderbilt_program_fellowship-adult-and-pediatric-craniofacial-https-www-vumc-o_d95dd3b28074,Adult and Pediatric Craniofacial,fellowship,related_scope_exclusion_then_target_program_source_discovery,candidate_context,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,fetched,200,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,www.vumc.org,www.vumc.org,true,text/html; charset=UTF-8,204,113762,6deb5c28794bede50a98914260e9dfa8f5e19aef4fa82a1509de0d08bc3818d8,6174,d5f7d26fc453fe3cd943461a1fe80eb94c4c8b3fbbb2977f7b70da9f47959aba,true,true,2,21,11,13,53,6,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,true,false,0,false,false,false,false,false,false,"Approved non-mutating Vanderbilt slice-2 live route-observation ledger. It fetches only bounded public official denominator and candidate-context route metadata from the nine approved request rows, records final URLs, hashes, booleans, and coarse signal counts, and stores no raw HTML, raw text, raw headings, raw anchor samples, raw candidate names, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, or identity collapse.","{""fetch_error"":"""",""gbrain_approval_line"":""APPROVE vanderbilt_slice_2_live_fetch_approval_request_packet_approved REQUEST_ROWS 9 SOURCE_PLAN_ROWS 9 SOURCE_ROWSET_SHA256 c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b ROWSET_SHA256 98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""route_role"":""candidate_context"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_approval_request_status"":""pending_exact_gbrain_approval"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b""}",2026-06-09T10:49:52.565411+00:00
vanderbilt_slice_2_live_route_observation_ba57b24a69b43a85c2c1,vanderbilt_slice_2_live_fetch_approval_request_c0885b36bf826a256a2a,2,vanderbilt_slice_2_execution_plan_d05e77b3a654e0f1fc2f,school_gap_resolution_8b38cca477ffd3c78fb5,vanderbilt_program_fellowship-adult-and-pediatric-craniofacial-https-www-vumc-o_d95dd3b28074,Adult and Pediatric Craniofacial,fellowship,related_scope_exclusion_then_target_program_source_discovery,denominator,https://www.vumc.org/plasticsurgdept/pediatric-adult-craniofacial-fellowship,fetched,200,https://www.vumc.org/plasticsurgdept/pediatric-adult-craniofacial-fellowship,www.vumc.org,www.vumc.org,true,text/html; charset=UTF-8,179,80943,10bfb2dde56b304d1f1f0a710fda5c727a9680820aadd142a7c66b18d6f0129d,11603,29ff7038dd311b8cb3ff82682389f9c70094b1a1b1b9d15d843eb39128868eed,false,false,0,46,10,41,50,5,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,true,false,0,false,false,false,false,false,false,"Approved non-mutating Vanderbilt slice-2 live route-observation ledger. It fetches only bounded public official denominator and candidate-context route metadata from the nine approved request rows, records final URLs, hashes, booleans, and coarse signal counts, and stores no raw HTML, raw text, raw headings, raw anchor samples, raw candidate names, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, or identity collapse.","{""fetch_error"":"""",""gbrain_approval_line"":""APPROVE vanderbilt_slice_2_live_fetch_approval_request_packet_approved REQUEST_ROWS 9 SOURCE_PLAN_ROWS 9 SOURCE_ROWSET_SHA256 c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b ROWSET_SHA256 98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""route_role"":""denominator"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_approval_request_status"":""pending_exact_gbrain_approval"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b""}",2026-06-09T10:49:52.565411+00:00
vanderbilt_slice_2_live_route_observation_577e026bebd381e181b1,vanderbilt_slice_2_live_fetch_approval_request_384cadf96536a6289500,3,vanderbilt_slice_2_execution_plan_4af5598b7275aa1bb02e,school_gap_resolution_0b44b65fe4b5db3557a9,vanderbilt_program_fellowship-hand-surgery-plastic-surgery-https-www-vumc-org-p_737250a0e0f9,Hand Surgery (Plastic Surgery),fellowship,related_scope_exclusion_then_target_program_source_discovery,candidate_context,https://www.vumc.org/plasticsurgdept/person/facial-aesthetic-surgery-team,fetched,200,https://www.vumc.org/plasticsurgdept/person/facial-aesthetic-surgery-team,www.vumc.org,www.vumc.org,true,text/html; charset=UTF-8,179,82353,5edf01ee39974f250714a9fab0ccb38114bc768ebd459250524496d44c7dbdcd,4800,7928765656f2310338e15d36268b7fbcd8a69e4a72071f8a256808aabf8223ed,false,false,0,9,6,10,26,5,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,true,false,0,false,false,false,false,false,false,"Approved non-mutating Vanderbilt slice-2 live route-observation ledger. It fetches only bounded public official denominator and candidate-context route metadata from the nine approved request rows, records final URLs, hashes, booleans, and coarse signal counts, and stores no raw HTML, raw text, raw headings, raw anchor samples, raw candidate names, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, or identity collapse.","{""fetch_error"":"""",""gbrain_approval_line"":""APPROVE vanderbilt_slice_2_live_fetch_approval_request_packet_approved REQUEST_ROWS 9 SOURCE_PLAN_ROWS 9 SOURCE_ROWSET_SHA256 c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b ROWSET_SHA256 98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""route_role"":""candidate_context"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_approval_request_status"":""pending_exact_gbrain_approval"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b""}",2026-06-09T10:49:52.565411+00:00
vanderbilt_slice_2_live_route_observation_4655ff98eb41083356b3,vanderbilt_slice_2_live_fetch_approval_request_384cadf96536a6289500,3,vanderbilt_slice_2_execution_plan_4af5598b7275aa1bb02e,school_gap_resolution_0b44b65fe4b5db3557a9,vanderbilt_program_fellowship-hand-surgery-plastic-surgery-https-www-vumc-org-p_737250a0e0f9,Hand Surgery (Plastic Surgery),fellowship,related_scope_exclusion_then_target_program_source_discovery,denominator,https://www.vumc.org/plasticsurgdept/independent-plastic-surgery-fellowship,fetched,200,https://www.vumc.org/plasticsurgdept/independent-plastic-surgery-fellowship,www.vumc.org,www.vumc.org,true,text/html; charset=UTF-8,174,77727,60a793d85e339aee8a51bcc71796ae307003d42294d1ff93933fd973b1434be6,4742,bf841e905e784922dd1a2af459fa759f01b8800a6e982db741e9a9c70f186b17,false,false,0,10,10,13,16,5,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,true,false,0,false,false,false,false,false,false,"Approved non-mutating Vanderbilt slice-2 live route-observation ledger. It fetches only bounded public official denominator and candidate-context route metadata from the nine approved request rows, records final URLs, hashes, booleans, and coarse signal counts, and stores no raw HTML, raw text, raw headings, raw anchor samples, raw candidate names, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, or identity collapse.","{""fetch_error"":"""",""gbrain_approval_line"":""APPROVE vanderbilt_slice_2_live_fetch_approval_request_packet_approved REQUEST_ROWS 9 SOURCE_PLAN_ROWS 9 SOURCE_ROWSET_SHA256 c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b ROWSET_SHA256 98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""route_role"":""denominator"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_approval_request_status"":""pending_exact_gbrain_approval"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b""}",2026-06-09T10:49:52.565411+00:00
vanderbilt_slice_2_live_route_observation_6a99100e55ed5b5a8702,vanderbilt_slice_2_live_fetch_approval_request_e9c496d78e57231741e5,4,vanderbilt_slice_2_execution_plan_ca36f7c1af3a445079a1,school_gap_resolution_bf2245ea811ffe549128,vanderbilt_program_fellowship-plastic-surgery-https-www-vumc-org-plasticsurgdep_563db0d8d563,Plastic Surgery,fellowship,related_scope_exclusion_then_target_program_source_discovery,candidate_context,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,fetched,200,https://www.vumc.org/plasticsurgdept/person/2025-2026-residents-and-fellows,www.vumc.org,www.vumc.org,true,text/html; charset=UTF-8,204,113762,6deb5c28794bede50a98914260e9dfa8f5e19aef4fa82a1509de0d08bc3818d8,6174,d5f7d26fc453fe3cd943461a1fe80eb94c4c8b3fbbb2977f7b70da9f47959aba,true,true,2,21,11,13,53,6,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,true,false,0,false,false,false,false,false,false,"Approved non-mutating Vanderbilt slice-2 live route-observation ledger. It fetches only bounded public official denominator and candidate-context route metadata from the nine approved request rows, records final URLs, hashes, booleans, and coarse signal counts, and stores no raw HTML, raw text, raw headings, raw anchor samples, raw candidate names, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, or identity collapse.","{""fetch_error"":"""",""gbrain_approval_line"":""APPROVE vanderbilt_slice_2_live_fetch_approval_request_packet_approved REQUEST_ROWS 9 SOURCE_PLAN_ROWS 9 SOURCE_ROWSET_SHA256 c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b ROWSET_SHA256 98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""route_role"":""candidate_context"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_approval_request_status"":""pending_exact_gbrain_approval"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b""}",2026-06-09T10:49:52.565411+00:00
vanderbilt_slice_2_live_route_observation_eb760734d991b001dda7,vanderbilt_slice_2_live_fetch_approval_request_e9c496d78e57231741e5,4,vanderbilt_slice_2_execution_plan_ca36f7c1af3a445079a1,school_gap_resolution_bf2245ea811ffe549128,vanderbilt_program_fellowship-plastic-surgery-https-www-vumc-org-plasticsurgdep_563db0d8d563,Plastic Surgery,fellowship,related_scope_exclusion_then_target_program_source_discovery,denominator,https://www.vumc.org/plasticsurgdept/independent-plastic-surgery-fellowship,fetched,200,https://www.vumc.org/plasticsurgdept/independent-plastic-surgery-fellowship,www.vumc.org,www.vumc.org,true,text/html; charset=UTF-8,174,77727,60a793d85e339aee8a51bcc71796ae307003d42294d1ff93933fd973b1434be6,4742,bf841e905e784922dd1a2af459fa759f01b8800a6e982db741e9a9c70f186b17,false,false,0,10,10,13,16,5,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,true,false,0,false,false,false,false,false,false,"Approved non-mutating Vanderbilt slice-2 live route-observation ledger. It fetches only bounded public official denominator and candidate-context route metadata from the nine approved request rows, records final URLs, hashes, booleans, and coarse signal counts, and stores no raw HTML, raw text, raw headings, raw anchor samples, raw candidate names, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, or identity collapse.","{""fetch_error"":"""",""gbrain_approval_line"":""APPROVE vanderbilt_slice_2_live_fetch_approval_request_packet_approved REQUEST_ROWS 9 SOURCE_PLAN_ROWS 9 SOURCE_ROWSET_SHA256 c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b ROWSET_SHA256 98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""route_role"":""denominator"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_approval_request_status"":""pending_exact_gbrain_approval"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b""}",2026-06-09T10:49:52.565411+00:00
vanderbilt_slice_2_live_route_observation_45cf9dce199ba56ece63,vanderbilt_slice_2_live_fetch_approval_request_38a5027a12e28ea785fb,5,vanderbilt_slice_2_execution_plan_a9a144812f986a0829b7,school_gap_resolution_017265de49ee7b8a272c,vanderbilt_program_fellowship-emergency-medical-services-https-www-vanderbiltem_71c2d78aefa0,Emergency Medical Services,fellowship,broader_official_search_plan,candidate_context,https://emergencymedicine.vumc.org/where-do-our-trainees-work-after-graduation,fetched,200,https://emergencymedicine.vumc.org/where-do-our-trainees-work-after-graduation,emergencymedicine.vumc.org,emergencymedicine.vumc.org,true,text/html; charset=UTF-8,183,102804,c1aa279cc4c39346e4dee68473b4435855a4b06025b331acbe3e569d8db7dc65,7627,c331b9a7c12abd68697036aa6c75dccd960423fab5809f548f657bdb34d4d79f,true,true,2,65,33,58,0,6,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,true,false,0,false,false,false,false,false,false,"Approved non-mutating Vanderbilt slice-2 live route-observation ledger. It fetches only bounded public official denominator and candidate-context route metadata from the nine approved request rows, records final URLs, hashes, booleans, and coarse signal counts, and stores no raw HTML, raw text, raw headings, raw anchor samples, raw candidate names, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, or identity collapse.","{""fetch_error"":"""",""gbrain_approval_line"":""APPROVE vanderbilt_slice_2_live_fetch_approval_request_packet_approved REQUEST_ROWS 9 SOURCE_PLAN_ROWS 9 SOURCE_ROWSET_SHA256 c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b ROWSET_SHA256 98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""route_role"":""candidate_context"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_approval_request_status"":""pending_exact_gbrain_approval"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b""}",2026-06-09T10:49:52.565411+00:00
vanderbilt_slice_2_live_route_observation_114beebfb19763ddbd99,vanderbilt_slice_2_live_fetch_approval_request_38a5027a12e28ea785fb,5,vanderbilt_slice_2_execution_plan_a9a144812f986a0829b7,school_gap_resolution_017265de49ee7b8a272c,vanderbilt_program_fellowship-emergency-medical-services-https-www-vanderbiltem_71c2d78aefa0,Emergency Medical Services,fellowship,broader_official_search_plan,denominator,https://www.vanderbiltem.com/ems1,fetched,200,https://emergencymedicine.vumc.org/,www.vanderbiltem.com,emergencymedicine.vumc.org,false,text/html; charset=UTF-8,413,49206,0ee8f6a59ba677f53d031a86e06cad1091f2b9c74e3f39fa3330cf8cea099a3f,3373,21b39935fdd34a17c1574a7b324513c8cea14f07af959b6a031dfa9774b9f989,false,false,0,7,4,2,0,6,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,true,false,0,false,false,false,false,false,false,"Approved non-mutating Vanderbilt slice-2 live route-observation ledger. It fetches only bounded public official denominator and candidate-context route metadata from the nine approved request rows, records final URLs, hashes, booleans, and coarse signal counts, and stores no raw HTML, raw text, raw headings, raw anchor samples, raw candidate names, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, or identity collapse.","{""fetch_error"":"""",""gbrain_approval_line"":""APPROVE vanderbilt_slice_2_live_fetch_approval_request_packet_approved REQUEST_ROWS 9 SOURCE_PLAN_ROWS 9 SOURCE_ROWSET_SHA256 c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b ROWSET_SHA256 98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""route_role"":""denominator"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_approval_request_status"":""pending_exact_gbrain_approval"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b""}",2026-06-09T10:49:52.565411+00:00
vanderbilt_slice_2_live_route_observation_6dd0aff9edfd81fd3ba3,vanderbilt_slice_2_live_fetch_approval_request_ffd5e92cc246c56a3282,6,vanderbilt_slice_2_execution_plan_fb44b2d590b6cc6bc8d1,school_gap_resolution_24184b46be0b07f10daf,vanderbilt_program_fellowship-emergency-medicine-simulation-https-www-vanderbil_b0fff3506a71,Emergency Medicine Simulation,fellowship,broader_official_search_plan,candidate_context,https://emergencymedicine.vumc.org/where-do-our-trainees-work-after-graduation,fetched,200,https://emergencymedicine.vumc.org/where-do-our-trainees-work-after-graduation,emergencymedicine.vumc.org,emergencymedicine.vumc.org,true,text/html; charset=UTF-8,183,102804,c1aa279cc4c39346e4dee68473b4435855a4b06025b331acbe3e569d8db7dc65,7627,c331b9a7c12abd68697036aa6c75dccd960423fab5809f548f657bdb34d4d79f,true,true,2,65,33,58,0,6,official_route_current_roster_signal_needs_parser_scope_packet,slice_2_route_parser_scope_approval_request_packet,true,false,0,false,false,false,false,false,false,"Approved non-mutating Vanderbilt slice-2 live route-observation ledger. It fetches only bounded public official denominator and candidate-context route metadata from the nine approved request rows, records final URLs, hashes, booleans, and coarse signal counts, and stores no raw HTML, raw text, raw headings, raw anchor samples, raw candidate names, accepted people, training-state mutation, denominator closure, Vanderbilt school verification, URL rewrite, unsupported-label ingestion, enrichment/profile/contact/research-fact acceptance, or identity collapse.","{""fetch_error"":"""",""gbrain_approval_line"":""APPROVE vanderbilt_slice_2_live_fetch_approval_request_packet_approved REQUEST_ROWS 9 SOURCE_PLAN_ROWS 9 SOURCE_ROWSET_SHA256 c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b ROWSET_SHA256 98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""route_role"":""candidate_context"",""source_approval_request_rowset_sha256"":""98961c203962855aa7ebc7c31c4396b3ad231e166b71cf2a465e4fa474d6bc2d"",""source_approval_request_status"":""pending_exact_gbrain_approval"",""source_execution_plan_rowset_sha256"":""c759c51d71ba8336798af94d591822a8002d2d5a95827854848c620da58dcc6b""}",2026-06-09T10:49:52.565411+00:00
